AHT (min),NTT (min),Cross Talk (%),CSAT (%),Sentiment Score,NPS Score,FCR (%),Avg Speed of Answer (sec),Abandonment Rate (%),Medallia Survey Result,Industry,Maturity Level
7,3,5,82,3.8,7,92,23,5,Satisfied,Telco,Mid Maturity
6.4,2.6,5,88,4.4,8,89,23,6,Satisfied,Sales,Mid Maturity
7.1,2.3,11,85,4.3,8,86,24,5,Satisfied,Banking,Mid Maturity
7.9,3,5,90,3.7,7,86,23,4,Satisfied,Healthcare,Mid Maturity
7.1,2.3,11,84,4.1,7,91,25,3,Satisfied,Banking,Mid Maturity
6.2,2.3,5,80,4.6,6,89,27,4,Neutral,Utilities,Mid Maturity
7.8,2.4,10,86,3.8,6,92,23,3,Neutral,Banking,Mid Maturity
7.8,2.8,11,84,4.4,6,87,32,4,Neutral,Telco,Low Maturity
7.7,2.7,11,90,4.6,8,92,26,3,Satisfied,Utilities,Mid Maturity
8,2.7,9,84,4.1,7,86,23,4,Satisfied,Banking,Mid Maturity
7.9,2.7,11,80,4.6,6,88,33,3,Satisfied,Banking,Low Maturity
8,2.3,11,90,3.7,9,86,33,3,Satisfied,Utilities,High Maturity
6.4,3,11,88,4.6,6,89,33,3,Satisfied,Telco,Low Maturity
7.9,2.6,5,89,4.6,8,86,27,3,Neutral,Banking,Mid Maturity
7.6,2.2,9,80,4.6,9,92,23,5,Satisfied,Sales,Mid Maturity
7.7,3,7,83,4.6,6,86,23,3,Satisfied,Healthcare,Low Maturity
6.3,2.9,7,89,4.5,9,92,28,3,Satisfied,Telco,Mid Maturity
7.9,3,9,88,3.7,6,88,24,5,Very Satisfied,Banking,Mid Maturity
7.7,3,11,90,3.7,6,86,23,3,Neutral,Banking,Mid Maturity
7.7,2.5,9,89,4.6,6,88,31,3,Satisfied,Banking,Low Maturity
6.6,3,5,91,4.6,6,87,23,3,Satisfied,Banking,Mid Maturity
8,2.9,10,86,4,8,86,28,3,Satisfied,Banking,Nascent
7.3,3,5,86,4.6,6,86,29,5,Very Satisfied,Tech Support,Low Maturity
8,3,11,90,4,7,92,23,4,Satisfied,Tech Support,Nascent
6.4,2.9,11,89,4,8,89,24,4,Satisfied,Tech Support,Mid Maturity
7.2,3,8,89,3.8,6,92,23,3,Satisfied,Banking,Mid Maturity
7,2.2,11,86,4.7,8,92,33,4,Neutral,Banking,Low Maturity
7.1,2.7,7,90,4.7,6,86,33,4,Satisfied,Banking,Low Maturity
7.3,2.2,11,90,3.8,6,92,33,4,Not Satisfied,Utilities,Low Maturity
6.7,2.3,7,84,4.4,6,86,26,4,Not Satisfied,Telco,Mid Maturity
7.4,3,9,87,4.2,6,86,29,3,Neutral,Utilities,Low Maturity
6.3,2.3,11,88,3.7,6,86,32,4,Satisfied,Healthcare,Low Maturity
6.3,3,5,86,4.2,6,91,26,3,Satisfied,Utilities,Mid Maturity
6.4,3,11,86,4.6,9,88,31,3,Satisfied,Banking,Mid Maturity
7.9,3,5,88,4.7,6,90,26,3,Neutral,Healthcare,Mid Maturity
7,2.5,5,91,3.8,6,92,29,4,Neutral,Tech Support,Low Maturity
6.2,2.8,5,85,3.7,6,87,23,5,Satisfied,Utilities,Mid Maturity
8,3,5,90,4.5,6,92,23,4,Satisfied,Banking,Mid Maturity
6.3,3,11,80,4.6,6,92,23,3,Very Satisfied,Tech Support,Mid Maturity
7.9,3,8,89,4.7,8,92,33,4,Neutral,Utilities,Low Maturity
6.6,2.5,6,81,3.8,8,92,28,4,Satisfied,Banking,Mid Maturity
6.3,2.1,7,83,3.8,6,92,26,4,Neutral,Tech Support,Low Maturity
7.4,3,11,89,4.6,6,92,32,6,Satisfied,Healthcare,Low Maturity
6.3,2.6,7,89,4.3,6,92,33,5,Satisfied,Sales,Low Maturity
7.9,2.7,8,89,4.6,6,92,23,4,Neutral,Utilities,Mid Maturity
6.3,2.9,11,85,3.9,6,92,27,3,Neutral,Utilities,Mid Maturity
8,3,5,86,4.6,8,86,33,3,Neutral,Healthcare,Low Maturity
6.5,3,11,88,3.8,6,86,32,4,Satisfied,Utilities,Low Maturity
7.3,2.3,7,84,4,7,92,25,4,Very Satisfied,Sales,Mid Maturity
6.4,2.4,11,85,4.6,8,91,23,6,Satisfied,Utilities,Mid Maturity
6.4,2.6,5,87,4.6,6,92,27,5,Satisfied,Telco,Mid Maturity
7.9,2.2,10,86,3.8,7,92,25,6,Very Satisfied,Sales,Mid Maturity
6.4,3,5,86,4.6,7,92,33,6,Very Satisfied,Sales,Low Maturity
6.3,2.3,5,80,3.8,6,86,33,3,Neutral,Telco,Nascent
6.9,2.3,6,80,4.5,6,92,23,5,Satisfied,Telco,Mid Maturity
6.8,3,5,88,4.3,8,86,33,4,Satisfied,Utilities,Low Maturity
7.2,2.4,5,90,4.5,6,92,33,4,Neutral,Sales,Low Maturity
6.7,3,5,83,4.5,6,86,24,4,Neutral,Healthcare,Low Maturity
7.3,2.4,9,85,3.8,6,86,31,5,Very Satisfied,Utilities,Low Maturity
7.3,2.7,5,87,3.7,6,92,29,4,Satisfied,Tech Support,Low Maturity
7.9,3,9,88,3.8,7,88,23,4,Very Satisfied,Telco,Mid Maturity
7.9,3,10,89,3.9,7,86,23,4,Satisfied,Utilities,Mid Maturity
6.4,2.9,5,89,4.7,6,86,24,4,Very Satisfied,Healthcare,Mid Maturity
6.3,2.7,11,80,4.5,6,86,33,3,Very Satisfied,Tech Support,Nascent
7.9,2.9,11,84,3.8,6,92,27,5,Neutral,Telco,Low Maturity
7.8,2.5,5,85,4.4,7,86,28,4,Very Satisfied,Banking,Mid Maturity
6.3,2.5,11,82,3.9,6,90,23,3,Satisfied,Utilities,Low Maturity
6.3,2.2,8,86,4,7,92,28,3,Very Satisfied,Utilities,Mid Maturity
8,2.5,7,82,3.8,9,86,27,5,Satisfied,Tech Support,Mid Maturity
6.4,2.1,11,89,3.8,6,90,24,5,Very Satisfied,Healthcare,Mid Maturity
7.9,2.1,7,85,4.5,6,92,23,4,Very Satisfied,Utilities,Mid Maturity
6.7,2.5,5,83,3.8,6,86,29,4,Very Satisfied,Tech Support,Low Maturity
7.5,2.6,11,89,4.7,6,90,28,4,Neutral,Banking,Mid Maturity
7.9,2.3,11,90,4.2,7,88,25,3,Neutral,Sales,Mid Maturity
8,2.5,8,80,4.7,8,91,23,3,Satisfied,Telco,Mid Maturity
7.1,2.5,5,90,3.7,6,87,29,4,Neutral,Banking,Low Maturity
7.9,2.1,5,87,4.5,6,92,26,4,Satisfied,Telco,Mid Maturity
7.9,3,11,85,4.5,9,92,33,4,Very Satisfied,Sales,Mid Maturity
6.4,2.3,11,85,3.7,9,86,26,3,Satisfied,Utilities,Mid Maturity
7.8,2.9,9,90,4.6,6,91,24,6,Satisfied,Tech Support,Mid Maturity
7.8,3,5,83,4.7,6,86,23,4,Satisfied,Healthcare,Low Maturity
8,2.1,11,83,3.8,6,87,23,3,Not Satisfied,Banking,Mid Maturity
6.7,2.6,5,80,3.7,6,87,28,3,Neutral,Sales,Mid Maturity
7.8,2.1,11,86,3.8,6,92,25,5,Neutral,Sales,Mid Maturity
6.4,2.6,10,85,4.7,6,86,33,3,Very Satisfied,Telco,Low Maturity
6.2,2.9,11,90,4.4,9,89,30,5,Satisfied,Sales,High Maturity
6.5,2.1,5,86,3.7,6,86,23,5,Satisfied,Tech Support,Mid Maturity
6.7,2.6,5,86,4.4,8,92,33,4,Satisfied,Telco,Low Maturity
8,3,5,82,3.8,8,89,27,3,Neutral,Utilities,Mid Maturity
7.9,3,6,80,4.6,6,86,23,5,Very Satisfied,Healthcare,Nascent
6.4,2.8,5,86,3.7,6,86,28,4,Satisfied,Sales,Mid Maturity
7.5,3,10,86,4.5,6,92,27,3,Very Satisfied,Utilities,Mid Maturity
6.2,3,11,84,3.8,9,87,24,3,Satisfied,Telco,Mid Maturity
6.2,3,8,83,4.7,6,86,26,3,Not Satisfied,Utilities,Mid Maturity
7.8,2.3,7,86,3.8,6,86,33,3,Satisfied,Banking,Low Maturity
6.2,2.1,6,88,4.3,7,86,33,5,Neutral,Telco,Low Maturity
6.2,2.1,8,81,4.7,6,86,27,4,Satisfied,Utilities,Mid Maturity
8,2.4,11,90,4,6,86,29,3,Not Satisfied,Telco,Low Maturity
6.5,3,11,89,4.2,6,92,26,3,Satisfied,Telco,Mid Maturity
8,3,11,90,3.8,6,86,33,6,Satisfied,Banking,Nascent
6.5,3,11,89,3.7,6,90,23,3,Neutral,Sales,Mid Maturity
6.4,2.8,5,88,3.7,6,90,29,6,Satisfied,Utilities,Low Maturity
8,3,9,88,4.7,6,92,27,4,Satisfied,Banking,Mid Maturity
7.9,3,11,89,4.4,8,92,30,3,Satisfied,Tech Support,Low Maturity
7.9,2.2,9,85,4.7,7,86,23,4,Neutral,Banking,Mid Maturity
7.2,3,7,90,4.2,6,86,33,3,Not Satisfied,Banking,Low Maturity
7.9,2.9,9,88,3.9,6,86,23,4,Neutral,Tech Support,Mid Maturity
7.8,3,5,82,4.1,6,87,24,3,Neutral,Healthcare,Low Maturity
7.8,3,7,89,4,6,86,33,4,Not Satisfied,Banking,Low Maturity
6.3,2.5,10,90,4.7,7,86,33,5,Very Satisfied,Tech Support,Low Maturity
6.5,2.4,10,90,3.8,9,88,33,4,Satisfied,Healthcare,High Maturity
6.2,3,8,85,3.8,7,86,26,4,Satisfied,Telco,Mid Maturity
8,2.5,11,84,4.6,8,92,30,4,Satisfied,Telco,Low Maturity
7.4,2.1,11,89,4.1,8,90,31,4,Satisfied,Banking,Low Maturity
7.9,2.1,7,89,4.4,7,90,23,5,Satisfied,Sales,Mid Maturity
7.8,3,11,89,3.9,6,92,31,6,Satisfied,Healthcare,Low Maturity
7.9,2.7,5,81,4.2,6,92,30,5,Satisfied,Healthcare,Low Maturity
6.6,3,5,81,4.7,7,86,26,4,Satisfied,Tech Support,Mid Maturity
7.7,2.8,11,89,4.7,9,87,33,3,Neutral,Utilities,Mid Maturity
8,2.1,5,87,3.8,6,86,29,4,Very Satisfied,Healthcare,Low Maturity
8,3,11,89,3.7,6,89,23,3,Very Satisfied,Utilities,Nascent
6.4,2.9,5,89,4.1,9,86,24,3,Very Satisfied,Sales,Mid Maturity
7.4,2.3,7,89,3.7,6,92,32,6,Satisfied,Telco,Low Maturity
7.2,3,5,85,4.4,6,86,30,4,Satisfied,Healthcare,Low Maturity
6.5,3,11,80,3.7,6,86,33,6,Satisfied,Tech Support,Nascent
7.9,3,10,86,3.7,7,86,30,5,Satisfied,Banking,Low Maturity
6.8,3,7,83,3.8,6,92,31,4,Neutral,Tech Support,Low Maturity
6.5,2.1,11,89,3.8,9,87,23,3,Neutral,Sales,Mid Maturity
6.7,3,11,80,4.6,6,86,33,5,Satisfied,Utilities,Nascent
6.8,2.9,11,84,4.4,6,92,29,3,Very Satisfied,Utilities,Low Maturity
6.4,3,5,89,3.7,6,92,23,4,Satisfied,Banking,Mid Maturity
6.3,3,11,84,3.7,6,89,29,3,Very Satisfied,Telco,Low Maturity
6.4,2.2,6,86,4.1,9,92,26,4,Satisfied,Telco,Mid Maturity
7.1,2.9,8,83,4.6,6,92,28,3,Neutral,Healthcare,Low Maturity
7.3,2.9,5,88,3.7,6,89,28,5,Not Satisfied,Banking,Mid Maturity
8,2.2,9,90,3.7,6,86,33,3,Neutral,Utilities,Low Maturity
6.2,3,10,83,4.6,6,92,33,4,Neutral,Healthcare,Low Maturity
6.4,2.1,10,90,3.7,6,86,24,3,Not Satisfied,Sales,Mid Maturity
7.9,3,11,86,4.4,8,92,27,4,Very Satisfied,Utilities,Mid Maturity
6.3,2.4,6,82,3.7,6,86,24,4,Satisfied,Sales,Low Maturity
7,3,8,82,4.6,7,91,23,5,Satisfied,Utilities,Mid Maturity
7.8,2.8,8,81,4,6,91,33,6,Satisfied,Telco,Low Maturity
7.9,3,5,82,4.5,6,92,33,6,Neutral,Sales,Low Maturity
7.9,2.1,5,87,4.1,9,91,23,3,Neutral,Banking,Mid Maturity
6.2,2.5,7,86,3.7,6,86,33,5,Neutral,Utilities,Low Maturity
8,2.5,5,86,3.8,7,86,33,3,Satisfied,Banking,Low Maturity
6.3,2.3,9,80,3.8,6,92,28,5,Very Satisfied,Banking,Mid Maturity
7.5,3,11,84,3.9,9,86,27,3,Satisfied,Tech Support,Mid Maturity
6.3,3,5,88,3.9,7,92,26,4,Satisfied,Healthcare,Mid Maturity
6.3,2.2,11,89,4.2,6,86,23,3,Satisfied,Telco,Mid Maturity
6.2,3,11,87,4.1,6,86,32,4,Very Satisfied,Sales,Low Maturity
6.4,2.6,7,89,4.3,6,87,23,4,Satisfied,Utilities,Mid Maturity
7.8,2.1,11,89,3.9,6,92,26,3,Satisfied,Banking,Mid Maturity
7.8,3,8,80,4.4,6,86,23,4,Satisfied,Telco,Nascent
6.4,2.3,11,84,4.7,6,92,23,3,Neutral,Telco,Low Maturity
6.8,2.1,11,85,4.2,6,86,32,5,Neutral,Tech Support,Low Maturity
6.9,3,5,80,3.7,6,92,25,4,Satisfied,Sales,Mid Maturity
7.3,3,11,89,3.8,6,92,23,3,Neutral,Banking,Mid Maturity
7.2,2.5,11,80,4.7,6,86,31,3,Neutral,Utilities,Nascent
7.9,2.9,5,89,4.5,6,90,23,3,Satisfied,Sales,Mid Maturity
6.6,3,11,84,4.4,7,92,23,5,Satisfied,Sales,Mid Maturity
6.2,2.9,11,89,4.6,7,92,33,6,Neutral,Sales,Low Maturity
6.4,2.9,11,88,3.8,6,86,24,3,Neutral,Utilities,Mid Maturity
7.9,3,5,90,4.6,6,86,23,4,Very Satisfied,Utilities,Mid Maturity
8,2.1,5,90,3.7,6,86,25,3,Satisfied,Telco,Mid Maturity
7,3,11,89,4.7,6,86,33,3,Satisfied,Utilities,Low Maturity
6.7,2.1,7,89,3.8,6,88,29,5,Neutral,Utilities,Low Maturity
7.6,3,11,82,4.6,9,90,24,4,Satisfied,Telco,Mid Maturity
6.4,3,11,90,3.8,6,89,26,4,Satisfied,Banking,Mid Maturity
7.5,3,7,91,4,6,89,33,6,Very Satisfied,Banking,Low Maturity
8,2.4,11,90,4.7,7,86,23,4,Very Satisfied,Telco,Mid Maturity
6.5,3,11,87,4.2,7,92,33,5,Neutral,Tech Support,Low Maturity
8,3,7,88,4.6,6,92,27,3,Not Satisfied,Telco,Mid Maturity
6.3,3,5,90,3.9,7,86,23,4,Neutral,Telco,Mid Maturity
6.4,2.7,11,89,3.8,7,88,33,5,Neutral,Tech Support,Low Maturity
6.8,3,11,80,4.1,6,86,33,6,Satisfied,Tech Support,Nascent
7.3,3,8,80,3.8,7,92,23,5,Very Satisfied,Utilities,Mid Maturity
6.5,2.1,7,89,4.1,9,88,27,4,Neutral,Utilities,Mid Maturity
7.9,3,5,84,3.8,9,91,30,4,Very Satisfied,Sales,Low Maturity
7.2,2.5,8,88,4.1,8,90,32,5,Satisfied,Utilities,Low Maturity
6.3,2.1,11,84,4,7,92,23,6,Satisfied,Telco,Mid Maturity
7.7,2.1,5,91,4.3,7,86,33,5,Very Satisfied,Telco,Low Maturity
6.3,3,11,88,3.8,6,92,23,3,Satisfied,Tech Support,Mid Maturity
7,3,5,83,4.2,6,86,27,5,Neutral,Healthcare,Low Maturity
7.5,2.8,11,81,3.8,9,92,24,4,Satisfied,Utilities,Mid Maturity
7.2,3,9,83,3.8,6,86,33,5,Satisfied,Banking,Low Maturity
6.3,3,11,82,4.2,9,86,23,4,Satisfied,Healthcare,Mid Maturity
6.2,2.9,10,86,4.7,6,92,33,4,Satisfied,Utilities,Low Maturity
7.6,2.7,11,88,3.7,6,92,30,3,Satisfied,Tech Support,Low Maturity
6.5,2.1,7,91,4.6,8,89,29,5,Satisfied,Sales,Low Maturity
6.8,2.3,5,90,3.7,6,86,23,5,Very Satisfied,Banking,Mid Maturity
6.3,2.3,7,80,4.4,6,91,33,3,Satisfied,Sales,Low Maturity
7.3,2.3,11,89,3.7,6,86,28,3,Very Satisfied,Banking,Mid Maturity
8,3,5,81,4.7,7,86,23,3,Neutral,Sales,Mid Maturity
7.3,3,11,80,4.7,6,86,32,3,Satisfied,Sales,Nascent
7.7,2.7,7,82,3.8,6,86,23,6,Not Satisfied,Healthcare,Mid Maturity
7.9,2.2,9,83,4.4,6,92,23,3,Neutral,Sales,Low Maturity
7.2,2.5,6,82,4.5,6,86,33,3,Neutral,Banking,Low Maturity
7.8,2.5,6,82,4.5,9,86,30,4,Satisfied,Telco,Low Maturity
6.5,2.5,11,83,4.7,8,88,23,4,Satisfied,Telco,Mid Maturity
8,2.3,11,89,4.3,6,86,33,5,Satisfied,Telco,Low Maturity
8,2.5,11,87,4.3,8,92,24,3,Satisfied,Banking,Mid Maturity
8,3,5,90,3.7,6,86,23,3,Very Satisfied,Telco,Mid Maturity
7.9,2.7,5,90,4.7,7,88,23,5,Satisfied,Banking,Mid Maturity
7,3,6,89,3.7,6,90,31,4,Satisfied,Tech Support,Low Maturity
7.8,2.5,11,89,4.7,8,92,33,3,Satisfied,Utilities,Low Maturity
7.5,3,5,82,4.4,9,90,23,4,Satisfied,Banking,Mid Maturity
6.3,2.2,5,80,3.8,9,86,27,3,Neutral,Utilities,Nascent
6.9,2.5,11,89,4.6,7,86,23,4,Satisfied,Banking,Mid Maturity
6.5,3,11,88,3.9,7,86,26,3,Neutral,Utilities,Mid Maturity
7.3,3,7,81,3.8,6,92,26,4,Very Satisfied,Tech Support,Mid Maturity
6.5,2.8,9,86,4.7,8,92,23,5,Satisfied,Telco,Mid Maturity
8,2.3,8,85,4.6,6,88,23,4,Satisfied,Healthcare,Mid Maturity
6.2,2.1,11,80,4,6,88,33,4,Satisfied,Healthcare,Low Maturity
7.9,3,5,85,3.8,7,86,33,5,Neutral,Banking,Low Maturity
6.5,2.5,11,84,4.1,6,86,23,5,Neutral,Utilities,Low Maturity
6.4,2.6,5,89,3.7,6,87,33,4,Very Satisfied,Telco,Low Maturity
7.8,2.5,11,87,4.6,6,86,33,4,Satisfied,Sales,Low Maturity
8,2.7,6,91,4.5,8,86,32,3,Satisfied,Utilities,Low Maturity
6.4,2.2,11,89,3.8,7,89,23,5,Satisfied,Tech Support,Mid Maturity
6.2,2.3,5,89,4.7,6,86,23,4,Satisfied,Banking,Mid Maturity
6.5,2.7,9,87,4.3,7,87,30,3,Neutral,Healthcare,Low Maturity
